Código Município Completo;Nome_Município;DDD;UF_txt
1100015;Alta Floresta D'Oeste;69;RO
1100379;Alto Alegre dos Parecis;69;RO
1100403;Alto Paraíso;69;RO
1100346;Alvorada D'Oeste;69;RO
1100023;Ariquemes;69;RO
1100452;Buritis;69;RO
1100031;Cabixi;69;RO
1100601;Cacaulândia;69;RO
1100049;Cacoal;69;RO
1100700;Campo Novo de Rondônia;69;RO
1100809;Candeias do Jamari;69;RO
1100908;Castanheiras;69;RO
1100056;Cerejeiras;69;RO
1100924;Chupinguaia;69;RO
1100064;Colorado do Oeste;69;RO
1100072;Corumbiara;69;RO
1100080;Costa Marques;69;RO
1100940;Cujubim;69;RO
1100098;Espigão D'Oeste;69;RO
1101005;Governador Jorge Teixeira;69;RO
1100106;Guajará-Mirim;69;RO
1101104;Itapuã do Oeste;69;RO
1100114;Jaru;69;RO
1100122;Ji-Paraná;69;RO
1100130;Machadinho D'Oeste;69;RO
1101203;Ministro Andreazza;69;RO
1101302;Mirante da Serra;69;RO
1101401;Monte Negro;69;RO
1100148;Nova Brasilândia D'Oeste;69;RO
1100338;Nova Mamoré;69;RO
1101435;Nova União;69;RO
1100502;Novo Horizonte do Oeste;69;RO
1100155;Ouro Preto do Oeste;69;RO
1101450;Parecis;69;RO
1100189;Pimenta Bueno;69;RO
1101468;Pimenteiras do Oeste;69;RO
1100205;Porto Velho;69;RO
1100254;Presidente Médici;69;RO
1101476;Primavera de Rondônia;69;RO
1100262;Rio Crespo;69;RO
1100288;Rolim de Moura;69;RO
1100296;Santa Luzia D'Oeste;69;RO
1101484;São Felipe D'Oeste;69;RO
1101492;São Francisco do Guaporé;69;RO
1100320;São Miguel do Guaporé;69;RO
1101500;Seringueiras;69;RO
1101559;Teixeirópolis;69;RO
1101609;Theobroma;69;RO
1101708;Urupá;69;RO
1101757;Vale do Anari;69;RO
1101807;Vale do Paraíso;69;RO
1100304;Vilhena;69;RO
1200013;Acrelândia;68;AC
1200054;Assis Brasil;68;AC
1200104;Brasiléia;68;AC
1200138;Bujari;68;AC
1200179;Capixaba;68;AC
1200203;Cruzeiro do Sul;68;AC
1200252;Epitaciolândia;68;AC
1200302;Feijó;68;AC
1200328;Jordão;68;AC
1200336;Mâncio Lima;68;AC
1200344;Manoel Urbano;68;AC
1200351;Marechal Thaumaturgo;68;AC
1200385;Plácido de Castro;68;AC
1200807;Porto Acre;68;AC
1200393;Porto Walter;68;AC
1200401;Rio Branco;68;AC
1200427;Rodrigues Alves;68;AC
1200435;Santa Rosa do Purus;68;AC
1200500;Sena Madureira;68;AC
1200450;Senador Guiomard;68;AC
1200609;Tarauacá;68;AC
1200708;Xapuri;68;AC
1300029;Alvarães;97;AM
1300060;Amaturá;97;AM
1300086;Anamã;97;AM
1300102;Anori;97;AM
1300144;Apuí;97;AM
1300201;Atalaia do Norte;97;AM
1300300;Autazes;92;AM
1300409;Barcelos;97;AM
1300508;Barreirinha;92;AM
1300607;Benjamin Constant;97;AM
1300631;Beruri;97;AM
1300680;Boa Vista do Ramos;92;AM
1300706;Boca do Acre;97;AM
